Dropdown Selection,ROM Hack Title,Created By,Exits,Difficulty,Type,Added Date,SMWC ID,SMWCentral Page URL,Direct Download URL
"Mario, Luigi and the 7 Eggs of Peace","Mario, Luigi and the 7 Eggs of Peace",,53,Intermediate,Standard,,,,
Mario: Apocalypse Dawn,Mario: Apocalypse Dawn,,5,Casual,Standard,,,,
Mario: Collapsing Worlds,Mario: Collapsing Worlds,,4,Casual,Standard,,,,
Mario: Dawn to Darkness,Mario: Dawn to Darkness,,23,Newcomer,Standard,,,,
Mario: Other M,Mario: Other M,,8,Casual,Standard,,,,
Mario: The Curse of King Boo,Mario: The Curse of King Boo,,35,Intermediate,Kaizo,,,,
Mario41001's Unknown Hack,Mario41001's Unknown Hack,,4,Casual,Standard,,,,
Mario's 100s Challenge,Mario's 100s Challenge,,88,Advanced,Standard,,,,
Mario's 2 Ways 2 Victory,Mario's 2 Ways 2 Victory,,85,Intermediate,Standard,,,,
Mario's Adventure,Mario's Adventure,,8,Newcomer,Standard,,,,
Marios Adventure in the Dream World,Marios Adventure in the Dream World,,21,Casual,Standard,,,,
Mario's Adventure in Yoshi's Island,Mario's Adventure in Yoshi's Island,,5,Casual,Standard,,,,
Mario's Adventure on the Southern Continent,Mario's Adventure on the Southern Continent,,15,Intermediate,Standard,,,,
Mario's Amazing Adventure Revitalized,Mario's Amazing Adventure Revitalized,,105,Casual,Standard,,,,
Mario's Amazing Adventure: Extrem Edition,Mario's Amazing Adventure: Extrem Edition,,15,Advanced,Standard,,,,
Mario's Ascetic Adventure,Mario's Ascetic Adventure,,4,Expert,"Kaizo, Tool-Assisted",,,,
Mario's Awesome Journey,Mario's Awesome Journey,,11,Intermediate,Standard,,,,
Mario's Bathroom Adventure,Mario's Bathroom Adventure,,13,Casual,Standard,,,,
Mario's Bizarre Adventure,Mario's Bizarre Adventure,,1,Expert,Kaizo,,,,
Mario's Bizarre Adventure DLC,Mario's Bizarre Adventure DLC,,1,Master,Kaizo,,,,
Marios Christmas Adventure,Marios Christmas Adventure,,5,Intermediate,Kaizo,,,,
Marios Christmas Adventure 2,Marios Christmas Adventure 2,,5,Intermediate,Kaizo,,,,
Mario's Cookie Catastrophe,Mario's Cookie Catastrophe,,20,Casual,Standard,,,,
Mario's Cool Mission,Mario's Cool Mission,,6,Newcomer,Standard,,,,
Mario's Day Off,Mario's Day Off,,19,Casual,Standard,,,,
Mario's Double Trouble,Mario's Double Trouble,,74,Intermediate,Standard,,,,
Mario's Dying Simulator,Mario's Dying Simulator,,15,Advanced,"Kaizo, Tool-Assisted",,,,
Mario's Endless Adventure 2: Escape From Koopatraz Prison,Mario's Endless Adventure 2: Escape From Koopatraz Prison,,1,Intermediate,Standard,,,,
Mario's Enigmatic Tales 1: The Betrayal,Mario's Enigmatic Tales 1: The Betrayal,,87,Casual,Standard,,,,
Mario's Epic Adventure [SMWC #],Mario's Epic Adventure,,21,Casual,Standard,,,,
Mario's Epic Adventure [SMWC #],Mario's Epic Adventure,,17,Advanced,Standard,,,,
Mario's Evil Level,Mario's Evil Level,,5,Intermediate,"Kaizo, Tool-Assisted",,,,
Mario's Exodus To Death,Mario's Exodus To Death,,7,Casual,Standard,,,,
Mario's Final Quest,Mario's Final Quest,,8,Casual,Standard,,,,
Mario's First Adventure,Mario's First Adventure,,8,Advanced,Standard,,,,
Mario's Grand Adventure,Mario's Grand Adventure,,40,Casual,Standard,,,,
Mario's Grand Adventure 2: Mario's World Tour,Mario's Grand Adventure 2: Mario's World Tour,,21,Casual,Standard,,,,
Mario's Grand Adventure: Delta Island,Mario's Grand Adventure: Delta Island,,7,Casual,Standard,,,,
Mario's Grand Adventure: Omega Jungle,Mario's Grand Adventure: Omega Jungle,,6,Newcomer,Standard,,,,
Mario's Homeland,Mario's Homeland,,5,Newcomer,Standard,,,,
Mario's Island Exploration,Mario's Island Exploration,,17,Intermediate,Standard,,,,
Mario's Journey Through Time & Space,Mario's Journey Through Time & Space,,34,Casual,Standard,,,,
Mario's Keytastrophe,Mario's Keytastrophe,,51,Casual,"Standard, Puzzle",,,,
Mario's Keytastrophe: Rebirth Edition,Mario's Keytastrophe: Rebirth Edition,,37,Casual,"Standard, Puzzle",,,,
Mario's Last Adventure,Mario's Last Adventure,,20,Intermediate,Standard,,,,
Mario's Long Traveling,Mario's Long Traveling,,7,Casual,Standard,,,,
Mario's Lost World,Mario's Lost World,,27,Intermediate,Standard,,,,
Mario's Low-Budget Adventure,Mario's Low-Budget Adventure,,50,Intermediate,Standard,,,,
Mario's Mad Adventure,Mario's Mad Adventure,,25,Intermediate,Standard,,,,
Mario's Misadventures 2: The Black Hole Bomb,Mario's Misadventures 2: The Black Hole Bomb,,98,Casual,Standard,,,,
Mario's Misadventures: The Secret of The 11 Gems,Mario's Misadventures: The Secret of The 11 Gems,,98,Casual,Standard,,,,
Mario's Mission,Mario's Mission,,49,Intermediate,Standard,,,,
Mario's Mistake,Mario's Mistake,,7,Advanced,"Kaizo, Tool-Assisted",,,,
Mario's Mystery Meat,Mario's Mystery Meat,,1,Advanced,Standard,,,,
Mario's Mystical Garden,Mario's Mystical Garden,,10,Casual,Standard,,,,
Mario's New World,Mario's New World,,5,Casual,Standard,,,,
Mario's New Year Mini Quest,Mario's New Year Mini Quest,,10,Intermediate,Standard,,,,
Mario's Next Adventure,Mario's Next Adventure,,11,Newcomer,Standard,,,,
Mario's Nightmare: Episode 1,Mario's Nightmare: Episode 1,,7,Casual,Standard,,,,
Mario's NOSE,Mario's NOSE,,4,Intermediate,Standard,,,,
Mario's on a New Adventure!,Mario's on a New Adventure!,,21,Intermediate,Standard,,,,
Mario's Peregrination-Kingdom Elementum Phantasia,Mario's Peregrination-Kingdom Elementum Phantasia,,48,Casual,Standard,,,,
Marios Pizza Party,Marios Pizza Party,,10,Intermediate,Kaizo,,,,
Marios Pizza Party 2,Marios Pizza Party 2,,16,Intermediate,Kaizo,,,,
Marios Pizza Party 3,Marios Pizza Party 3,,13,Intermediate,Kaizo,,,,
Mario's Pride Mini Quest,Mario's Pride Mini Quest,,17,Intermediate,Standard,,,,
Mario's Quest For The Water,Mario's Quest For The Water,,28,Intermediate,Standard,,,,
Mario's Quest: The Legend of Darmi,Mario's Quest: The Legend of Darmi,,7,Intermediate,Standard,,,,
Mario's Redemption Quest,Mario's Redemption Quest,,12,Expert,Kaizo,,,,
Mario's Redrawn Adventure,Mario's Redrawn Adventure,,17,Casual,Standard,,,,
Mario's Return,Mario's Return,,87,Casual,Standard,,,,
Mario's Return Again,Mario's Return Again,,88,Intermediate,Standard,,,,
Mario's Ruined Seclusion,Mario's Ruined Seclusion,,31,Casual,Standard,,,,
Mario's Search for the 8 Jewels,Mario's Search for the 8 Jewels,,96,Casual,Standard,,,,
Mario's Search for the 8 Jewels 2,Mario's Search for the 8 Jewels 2,,59,Casual,Standard,,,,
Mario's Search for the Shrine of Eternal Ice,Mario's Search for the Shrine of Eternal Ice,,1,Casual,Standard,,,,
Mario's Search for the Stolen Stars,Mario's Search for the Stolen Stars,,14,Casual,Standard,,,,
Mario's Simple Way,Mario's Simple Way,,10,Intermediate,Standard,,,,
Marios story,Marios story,,22,Casual,Standard,,,,
Mario's Strange Quest,Mario's Strange Quest,,79,Intermediate,Standard,,,,
Mario's Super Galactic Illusion Space Time,Mario's Super Galactic Illusion Space Time,,9,Casual,Standard,,,,
Mario's Supper World,Mario's Supper World,,6,Casual,Standard,,,,
Mario's Sweet Adventure,Mario's Sweet Adventure,,7,Casual,Standard,,,,
Mario's Sweet Adventure 2,Mario's Sweet Adventure 2,,5,Casual,Standard,,,,
Mario's Sweet Adventure 3 - A New Quest,Mario's Sweet Adventure 3 - A New Quest,,66,Intermediate,Standard,,,,
Mario's Time Quest,Mario's Time Quest,,10,Newcomer,Standard,,,,
Mario's Timely Adventure,Mario's Timely Adventure,,7,Newcomer,Standard,,,,
Mario's Training,Mario's Training,,4,Advanced,Kaizo,,,,
Mario's Treasure Hunt,Mario's Treasure Hunt,,64,Casual,Standard,,,,
Mario's Treasure Hunt 2,Mario's Treasure Hunt 2,,75,Casual,Standard,,,,
Mario's Ultimate Journey,Mario's Ultimate Journey,,9,Casual,Standard,,,,
Mario's Vanilla Journey,Mario's Vanilla Journey,,24,Casual,Standard,,,,
Mario's Walk Home: Extended Collector's Edition,Mario's Walk Home: Extended Collector's Edition,,15,Newcomer,Standard,,,,
Mario's Way to be a Legend,Mario's Way to be a Legend,,5,Expert,Kaizo,,,,
MarioX World SER,MarioX World SER,,80,Advanced,Standard,,,,
Marisa And Reimu VS C3,Marisa And Reimu VS C3,,6,Advanced,Standard,,,,
Marisa And Reimu's Hack,Marisa And Reimu's Hack,,8,Advanced,Standard,,,,
Marisa And Reimu's Hack 2,Marisa And Reimu's Hack 2,,8,Expert,Kaizo,,,,
Marisa And Reimu's Switch Hunt,Marisa And Reimu's Switch Hunt,,5,Advanced,Standard,,,,
Marisa's Dimensional Adventure Demo 2,Marisa's Dimensional Adventure Demo 2,,35,Casual,Standard,,,,
MaSeHiHa - Mario's Search For His Hat,MaSeHiHa - Mario's Search For His Hat,,7,Casual,Standard,,,,
Master of Shell,Master of Shell,,16,Master,Kaizo,,,,
Masterpiece,Masterpiece,,62,Master,Kaizo,,,,
Mastery Shells,Mastery Shells,,15,Expert,Kaizo,,,,
Mastery Shells 2,Mastery Shells 2,,15,Master,Kaizo,,,,
Maxodex's World: The Ancestor's Treasure,Maxodex's World: The Ancestor's Treasure,,46,Casual,Standard,,,,
Mecha-Bowser's Revenge,Mecha-Bowser's Revenge,,16,Casual,Standard,,,,
Med's World - A Stick's Birthday,Med's World - A Stick's Birthday,,6,Intermediate,Standard,,,,
Meet The Balkans (Demo),Meet The Balkans (Demo),,11,Intermediate,Standard,,,,
Mega Man's Trip to an Unknown World,Mega Man's Trip to an Unknown World,,6,Newcomer,Standard,,,,
Mega Mario Bros. 2,Mega Mario Bros. 2,,15,Casual,Standard,,,,
Mega Mario World 2: Awakened Power,Mega Mario World 2: Awakened Power,,77,Intermediate,Standard,,,,
Mega Mario World: Another Universe,Mega Mario World: Another Universe,,59,Casual,Standard,,,,
Mega Rex Adventure [SMWC #],Mega Rex Adventure,,8,Newcomer,Standard,,,,
Mega Rex Adventure [SMWC #],Mega Rex Adventure,,27,Casual,Standard,,,,
Mega Rex Island,Mega Rex Island,,6,Newcomer,Standard,,,,
Megaman Reborn,Megaman Reborn,,1,Intermediate,Standard,,,,
MEME 😂👌💯,MEME 😂👌💯,,17,Advanced,Kaizo,,,,
Memento Mori,Memento Mori,,19,Expert,Kaizo,,,,
Memorabilia,Memorabilia,,10,Master,Kaizo,,,,
Memory Lane,Memory Lane,,7,Advanced,Kaizo,,,,
Mercenaries,Mercenaries,,0,Casual,Standard,,,,
MFC,MFC,,25,Advanced,Kaizo,,,,
Midair Mastery,Midair Mastery,,7,Grandmaster,Kaizo,,,,
Midday,Midday,,26,Expert,Kaizo,,,,
Midnight Lightning,Midnight Lightning,,12,Master,Kaizo,,,,
Miku's Spike Hell,Miku's Spike Hell,,0,Advanced,Kaizo,,,,
MINERVA,MINERVA,,12,Master,"Kaizo, Puzzle",,,,
Mini Challenge Medley (Wave 1),Mini Challenge Medley (Wave 1),,8,Casual,Standard,,,,
Mini Kaizo,Mini Kaizo,,4,Intermediate,Kaizo,,,,
minidumb,minidumb,,13,Advanced,Standard,,,,
Mint Chocolate,Mint Chocolate,,6,Advanced,Standard,,,,
MintGreenYoshi's Challenge,MintGreenYoshi's Challenge,,1,Advanced,"Tool-Assisted, Pit",,,,
Mirthful Mario-Escapade through Stellatus Shire,Mirthful Mario-Escapade through Stellatus Shire,,13,Casual,Standard,,,,
Mischievous Mouser,Mischievous Mouser,,18,Advanced,Kaizo,,,,
Mistakes Were Made,Mistakes Were Made,,10,Master,Kaizo,,,,
Misty Out There,Misty Out There,,15,Advanced,Kaizo,,,,
MK Ultra,MK Ultra,,3,Master,Kaizo,,,,
mod cape: a precision cape level,mod cape: a precision cape level,,1,Grandmaster,Kaizo,,,,
Momoku Mario World,Momoku Mario World,,5,Intermediate,"Standard, Kaizo",,,,
Monty Mole Island,Monty Mole Island,,6,Casual,Standard,,,,
Monty Mole Island 2 - Redrawn Island,Monty Mole Island 2 - Redrawn Island,,12,Casual,Standard,,,,
Monty Mole Island 3 - Boom Boom's World,Monty Mole Island 3 - Boom Boom's World,,10,Casual,Standard,,,,
Monty Mole Island 4 - Gamma Archipelago,Monty Mole Island 4 - Gamma Archipelago,,11,Casual,Standard,,,,
MOON,MOON,,20,Master,Kaizo,,,,
Moon Finder,Moon Finder,,40,Casual,"Standard, Puzzle",,,,
Morton's Empire,Morton's Empire,,43,Advanced,Standard,,,,
Morton's Tyranny,Morton's Tyranny,,8,Newcomer,Standard,,,,
Mostly Harmless,Mostly Harmless,,17,Master,Kaizo,,,,
Motor Shells,Motor Shells,,8,Expert,Kaizo,,,,
MrUg's Mini Level Pack,MrUg's Mini Level Pack,,4,Casual,Standard,,,,
Much Ado About Eggs,Much Ado About Eggs,,8,Casual,Standard,,,,
Mura World,Mura World,,6,Advanced,Kaizo,,,,
Mura World 2,Mura World 2,,11,Expert,Kaizo,,,,
Mushroom Kingdom - Under Crimson Skies,Mushroom Kingdom - Under Crimson Skies,,25,Intermediate,Standard,,,,
Mushroom Kingdom Invasion,Mushroom Kingdom Invasion,,7,Casual,Standard,,,,
Mushroom Kingdom Meltdown,Mushroom Kingdom Meltdown,,66,Intermediate,Standard,,,,
Mushroom Kingdom Meltdown 2,Mushroom Kingdom Meltdown 2,,89,Intermediate,Standard,,,,
Mushroom Onion Pizza,Mushroom Onion Pizza,,17,Expert,Kaizo,,,,
Mute's Christmas Quest,Mute's Christmas Quest,,3,Casual,Standard,,,,
My Contest Entries Collection,My Contest Entries Collection,,16,Expert,"Standard, Kaizo, Puzzle",,,,
My Favorite Things,My Favorite Things,,8,Master,Kaizo,,,,
My Hack,My Hack,,69,Grandmaster,Kaizo,,,,
My Level 4 Emero,My Level 4 Emero,,1,Casual,Standard,,,,
My little Puzzles - The Road to Wisdom,My little Puzzles - The Road to Wisdom,,38,Intermediate,"Standard, Kaizo, Puzzle, Tool-Assisted",,,,
My little Puzzles 2 - The Continents of Knowledge,My little Puzzles 2 - The Continents of Knowledge,,57,Advanced,"Standard, Kaizo, Puzzle, Tool-Assisted",,,,
My little Puzzles 3 - The Key to Eternity,My little Puzzles 3 - The Key to Eternity,,64,Advanced,"Standard, Kaizo, Puzzle, Tool-Assisted",,,,
My love is all wrong,My love is all wrong,,10,Advanced,Kaizo,,,,
My Name is Goal,My Name is Goal,,24,Advanced,Standard,,,,
My New Favorite Hack,My New Favorite Hack,,17,Expert,Kaizo,,,,
Mycelium,Mycelium,,13,Advanced,Kaizo,,,,
Mystery of the Seven Orbs,Mystery of the Seven Orbs,,25,Casual,Standard,,,,
Mystical Island,Mystical Island,,4,Newcomer,Standard,,,,
Myth of Mana,Myth of Mana,,1,Expert,"Standard, Kaizo",,,,
Nabbit Steals Christmas,Nabbit Steals Christmas,,8,Casual,Standard,,,,
Nachos and Fried Oreos,Nachos and Fried Oreos,,15,Advanced,Standard,,,,
Nador Quest,Nador Quest,,15,Casual,Standard,,,,
Nakama,Nakama,,34,Expert,Kaizo,,,,
Nameless Kaizo World,Nameless Kaizo World,,6,Expert,Kaizo,,,,
Nameless Kaizo World (Light),Nameless Kaizo World (Light),,5,Intermediate,Kaizo,,,,
Nameless Shells,Nameless Shells,,1,Advanced,Kaizo,,,,
Natsukashii Mario World,Natsukashii Mario World,,7,Expert,Kaizo,,,,
Naughtyworld,Naughtyworld,,116,Expert,Standard,,,,
Nebula,Nebula,,12,Expert,Kaizo,,,,
Neighborhood of Make-Believe,Neighborhood of Make-Believe,,16,Intermediate,Kaizo,,,,
Neko Nightmare,Neko Nightmare,,8,Casual,Standard,,,,
Nemesis,Nemesis,,16,Expert,Kaizo,,,,
Nerdina's World,Nerdina's World,,6,Newcomer,Standard,,,,
New Easter World,New Easter World,,8,Casual,Standard,,,,
New Mario's Adventure,New Mario's Adventure,,94,Advanced,Standard,,,,
NEW Nightmare cafe,NEW Nightmare cafe,,1,Advanced,Kaizo,,,,
NEW Nightmare cafe 2,NEW Nightmare cafe 2,,2,Advanced,Kaizo,,,,
NEW Nightmare cafe 3,NEW Nightmare cafe 3,,2,Advanced,Kaizo,,,,
NEW Nightmare cafe 4,NEW Nightmare cafe 4,,2,Advanced,Kaizo,,,,
NEW Nightmare cafe 5,NEW Nightmare cafe 5,,3,Advanced,Kaizo,,,,
New Retro Mario Bros.,New Retro Mario Bros.,,32,Casual,Standard,,,,
New Schlitterbahn Yoshi World 1,New Schlitterbahn Yoshi World 1,,9,Intermediate,Standard,,,,
New Sonic Generations,New Sonic Generations,,14,Expert,Kaizo,,,,
New Super Kaizo Bros.,New Super Kaizo Bros.,,24,Expert,Kaizo,,,,
New Super Mario Bros.,New Super Mario Bros.,,9,Newcomer,Standard,,,,
New Super Mario Bros. SNES,New Super Mario Bros. SNES,,21,Casual,Standard,,,,
New Super Mario Bros: The Lost Levels,New Super Mario Bros: The Lost Levels,,6,Newcomer,Standard,,,,
New Super Mario Illusion,New Super Mario Illusion,,17,Newcomer,Standard,,,,
New Super Mario Land,New Super Mario Land,,11,Intermediate,Standard,,,,
New Super Mario Pants World,New Super Mario Pants World,,11,Expert,Kaizo,,,,
New Super Mario World 1: The Twelve Magic Orbs,New Super Mario World 1: The Twelve Magic Orbs,,112,Intermediate,Standard,,,,
New Super Mario World 1: The Twelve Magic Orbs Powered-Up,New Super Mario World 1: The Twelve Magic Orbs Powered-Up,,112,Intermediate,Standard,,,,
New Super Mario World 2: Around The World,New Super Mario World 2: Around The World,,119,Advanced,Standard,,,,
New Super Mario World 2: Luigi's Quest,New Super Mario World 2: Luigi's Quest,,100,Casual,Standard,,,,
New Super Mario World Edition 2023,New Super Mario World Edition 2023,,15,Casual,Standard,,,,
New Super Mario World: The Seven Crystals of Peace,New Super Mario World: The Seven Crystals of Peace,,17,Casual,Standard,,,,
New Territory,New Territory,,8,Casual,Standard,,,,
NEW! Super Mario Land returns,NEW! Super Mario Land returns,,11,Intermediate,Standard,,,,
new.sfc,new.sfc,,1,Intermediate,Standard,,,,
Newbie Kaizo World,Newbie Kaizo World,,11,Advanced,Kaizo,,,,
Nextl - Summer Special Demo,Nextl - Summer Special Demo,,7,Casual,Standard,,,,
Nextl: Christmas Chronicles - Demo,Nextl: Christmas Chronicles - Demo,,6,Casual,Standard,,,,
NH World,NH World,,6,Intermediate,Kaizo,,,,
NH World 2,NH World 2,,10,Expert,Kaizo,,,,
Nightmare cafe,Nightmare cafe,,0,Intermediate,Kaizo,,,,
Nightmare cafe - Ninji's Adventure,Nightmare cafe - Ninji's Adventure,,1,Advanced,Kaizo,,,,
Nightmare cafe II,Nightmare cafe II,,0,Intermediate,Kaizo,,,,
Nightmare cafe III,Nightmare cafe III,,0,Intermediate,Kaizo,,,,
Nightmare cafe IV,Nightmare cafe IV,,0,Intermediate,Kaizo,,,,
Nightmare cafe IX,Nightmare cafe IX,,0,Intermediate,Kaizo,,,,
Nightmare cafe origins,Nightmare cafe origins,,1,Advanced,Kaizo,,,,
Nightmare cafe seasons,Nightmare cafe seasons,,1,Advanced,Kaizo,,,,
Nightmare cafe V,Nightmare cafe V,,0,Intermediate,Kaizo,,,,
Nightmare cafe VI,Nightmare cafe VI,,0,Intermediate,Kaizo,,,,
Nightmare cafe VII,Nightmare cafe VII,,0,Intermediate,Kaizo,,,,
Nightmare cafe VIII,Nightmare cafe VIII,,0,Intermediate,Kaizo,,,,
Nightmare cafe X,Nightmare cafe X,,0,Intermediate,Kaizo,,,,
Nightmares,Nightmares,,16,Expert,Kaizo,,,,
Ninja World,Ninja World,,16,Advanced,Kaizo,,,,
Ninja World 2,Ninja World 2,,20,Expert,Kaizo,,,,
Ninja World 3,Ninja World 3,,12,Expert,Kaizo,,,,
Ninji Burst!,Ninji Burst!,,14,Advanced,Standard,,,,
Ninji Story + Mario mode,Ninji Story + Mario mode,,27,Intermediate,Kaizo,,,,
Ninji Story 2,Ninji Story 2,,19,Expert,Kaizo,,,,
Ninpp World,Ninpp World,,20,Expert,Kaizo,,,,
Nintense,Nintense,,17,Expert,Kaizo,,,,
Nissay's beginning,Nissay's beginning,,1,Advanced,Kaizo,,,,
No Biggie World,No Biggie World,,12,Expert,Kaizo,,,,
no name,no name,,9,Advanced,"Standard, Kaizo",,,,
No Villains,No Villains,,4,Master,"Kaizo, Puzzle, Tool-Assisted",,,,
Nobody Asked For This,Nobody Asked For This,,5,Expert,Kaizo,,,,
Noise's Fault,Noise's Fault,,1,Grandmaster,"Tool-Assisted, Pit",,,,
Nonsense,Nonsense,,119,Expert,Standard,,,,
Not Another Puzzle Hack,Not Another Puzzle Hack,,20,Intermediate,Standard,,,,
Not Dracula's Castle,Not Dracula's Castle,,0,Master,Kaizo,,,,
NOT SO SADISTIC MARIO.,NOT SO SADISTIC MARIO.,,22,Advanced,Standard,,,,
Nothing Crazy,Nothing Crazy,,19,Intermediate,Standard,,,,
Nothing Special,Nothing Special,,32,Intermediate,Standard,,,,
Nothing Special (Remastered),Nothing Special (Remastered),,5,Intermediate,Standard,,,,
Nova Concept - a love letter to SIG,Nova Concept - a love letter to SIG,,12,Intermediate,Standard,,,,
N'sane Studios hack,N'sane Studios hack,,11,Expert,Kaizo,,,,
Nuatepra,Nuatepra,,22,Advanced,Kaizo,,,,
O Ninja Negro,O Ninja Negro,,39,Advanced,Standard,,,,
Oblivion,Oblivion,,15,Expert,Kaizo,,,,
Obscure,Obscure,,26,Advanced,"Standard, Kaizo",,,,
Obstinate,Obstinate,,14,Expert,Kaizo,,,,
Octopus,Octopus,,7,Intermediate,Kaizo,,,,
Odd Master Mario,Odd Master Mario,,6,Newcomer,Standard,,,,
Odd Sands,Odd Sands,,28,Master,Kaizo,,,,
Ode To The Original Sin,Ode To The Original Sin,,26,Master,Kaizo,,,,
Of Heavy Riffs and Awesome Basslines,Of Heavy Riffs and Awesome Basslines,,6,Intermediate,Kaizo,,,,
Of Jumps and Platforms,Of Jumps and Platforms,,7,Intermediate,Standard,,,,
Of Precision & Style,Of Precision & Style,,3,Master,Kaizo,,,,
O'Ghim!,O'Ghim!,,28,Expert,Kaizo,,,,
O'Ghim!: Scholar Of The First Ghim,O'Ghim!: Scholar Of The First Ghim,,28,Expert,Kaizo,,,,
OK Mario,OK Mario,,15,Advanced,Kaizo,,,,
Olafs Shell Adventure,Olafs Shell Adventure,,16,Master,Kaizo,,,,
Old Marine World,Old Marine World,,6,Advanced,Kaizo,,,,
On The Edge,On The Edge,,8,Master,Kaizo,,,,
Once Again,Once Again,,14,Advanced,Kaizo,,,,
ONE,ONE,,14,Advanced,Kaizo,,,,
One Day The Sadness Will End,One Day The Sadness Will End,,10,Expert,Standard,,,,
One screen puzzle N°1,One screen puzzle N°1,,1,Intermediate,Kaizo,,,,
Onegai My Melody - Detour Land Conquest,Onegai My Melody - Detour Land Conquest,,46,Intermediate,Standard,,,,
Onegai My Melody - My Melody Adventure,Onegai My Melody - My Melody Adventure,,92,Intermediate,Standard,,,,
ONLY UP,ONLY UP,,1,Intermediate,Standard,,,,
Oogtar's Quest,Oogtar's Quest,,18,Newcomer,Standard,,,,
ooooo,ooooo,,82,Master,"Standard, Kaizo",,,,
Oops all keys,Oops all keys,,4,Master,Kaizo,,,,
Oops! All Fortresses,Oops! All Fortresses,,5,Casual,Kaizo,,,,
"Oops, All Grasslands","Oops, All Grasslands",,8,Grandmaster,Kaizo,,,,
"Oops,Trials Mario","Oops,Trials Mario",,7,Advanced,Kaizo,,,,
Oozitgarn,Oozitgarn,,7,Master,Kaizo,,,,
